"instance_id","county","total_positive_cases","no_recovered","total_cases_recovered"
30,"Fall River","1","1",NA
30,"Faulk","1","1",NA
30,"Hamlin","1","0",NA
30,"Hughes","3","3",NA
30,"Hutchinson","2","2",NA
30,"Lake","2","0",NA
30,"Lawrence","9","8",NA
30,"Lincoln","31","11",NA
30,"Lyman","2","1",NA
30,"Marshall","1","1",NA
30,"McCook","2","1",NA
30,"Meade","1","1",NA
30,"Minnehaha","228","41",NA
30,"Oglala Lakota","1","0",NA
30,"Pennington","6","5",NA
30,"Roberts","4","3",NA
30,"Spink","3","2",NA
30,"Todd","1","1",NA
30,"Turner","5","1",NA
30,"Union","3","1",NA
30,"Yankton","17","12",NA
31,"Aurora","1","1",NA
31,"Beadle","21","19",NA
31,"Bon Homme","3","1",NA
31,"Brookings","6","5",NA
31,"Brown","14","9",NA
31,"Charles Mix","2","1",NA
31,"Clark","1","1",NA
31,"Clay","6","3",NA
31,"Codington","12","10",NA
31,"Corson","1","0",NA
31,"Davison","3","3",NA
31,"Deuel","1","1",NA
31,"Fall River","1","1",NA
31,"Faulk","1","1",NA
31,"Hamlin","1","0",NA
31,"Hughes","4","3",NA
31,"Hutchinson","2","2",NA
31,"Jerauld","1","0",NA
31,"Lake","2","0",NA
31,"Lawrence","9","8",NA
31,"Lincoln","33","15",NA
31,"Lyman","2","1",NA
31,"Marshall","1","1",NA
31,"McCook","2","1",NA
31,"Meade","1","1",NA
31,"Minnehaha","274","48",NA
31,"Oglala Lakota","1","0",NA
31,"Pennington","7","5",NA
31,"Roberts","4","3",NA
31,"Spink","3","2",NA
31,"Todd","1","1",NA
31,"Turner","5","1",NA
31,"Union","3","1",NA
31,"Yankton","18","12",NA
32,"Aurora","1","1",NA
32,"Beadle","22","19",NA
32,"Bon Homme","3","2",NA
32,"Brookings","7","7",NA
32,"Brown","14","9",NA
32,"Charles Mix","3","1",NA
32,"Clark","1","1",NA
32,"Clay","6","3",NA
32,"Codington","12","11",NA
32,"Corson","1","0",NA
32,"Davison","3","3",NA
32,"Deuel","1","1",NA
32,"Fall River","1","1",NA
32,"Faulk","1","1",NA
32,"Hamlin","1","1",NA
32,"Hughes","4","3",NA
32,"Hutchinson","2","2",NA
32,"Jerauld","1","0",NA
32,"Lake","2","1",NA
32,"Lawrence","9","8",NA
32,"Lincoln","38","16",NA
